Naslov,Spletna povezava,Dolžina,Datum,EksplicitnostOpis
382: Joe Wong,https://audioboom.com/posts/7572501,6643,"Sat, 02 May 2020 22:17:30 +0000",no,"<![CDATA[<div> <strong>Joe Wong</strong>, musician and composer from <a href=""https://www.netflix.com/title/80987903"">The Midnight Gospel</a>, joins the DTFH!<br> <br> Listen to Joe's podcast, <a href=""http://www.thetrapset.net/"">The Trap Set</a>. And check out Joe's <a href=""https://www.nitecreatures.com/"">tour with Nite Creatures</a> later this year.<br> <br> <a href=""https://www.netflix.com/title/80987903"">The Midnight Gospel</a> is out now on Netflix! Starring Duncan Trussell, co-created by Pendleton Ward, and with compositions by Joe Wong!<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://purple.com/duncan""><strong>Purple</strong></a> - Visit <a href=""http://Purple.com/Duncan"">Purple.com/Duncan</a> and use promo code DUNCAN for $150 Off any mattress order of $1500 or more!</li> <li> <a href=""https://storyworth.com/duncan""><strong>StoryWorth</strong></a> - Visit <a href=""http://StoryWorth.com/Duncan"">StoryWorth.com/Duncan</a> to get $10 off your first purchase!</li> </ul> ]]>"
381: Sean Glaze AKA Lord Spew,https://audioboom.com/posts/7565725,5126,"Sat, 25 Apr 2020 07:54:33 +0000",no,"<![CDATA[<div> <strong>Sean Glaze</strong>, alias Lord Spew, brilliant artist and storyboard artist on The Midnight Gospel, joins the DTFH!<br> <br> You can check out Lord Spew's site <a href=""https://lordspew.com/"">here</a>, and follow him on <a href=""https://twitter.com/LordSpew/"">Twitter</a>, <a href=""https://www.instagram.com/LordSpew/"">Instagram</a>, <a href=""https://www.youtube.com/lordspew"">Youtube</a>, and <a href=""http://twitch.tv/lordofspew"">Twitch</a>.<br> <br> Duncan's new show, <a href=""https://www.netflix.com/title/80987903""><strong>The Midnight Gospel</strong></a>, is out now on Netflix! <a href=""https://www.netflix.com/title/80987903"">Click here to watch it</a>.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://feals.com/""><strong>Feals</strong></a> - Visit <a href=""http://feals.com/duncan"">feals.com/duncan</a> and get 50% off and FREE shipping on your first order.</li> </ul> ]]>"
380: Dan Harmon,https://audioboom.com/posts/7559953,4731,"Sat, 18 Apr 2020 08:25:06 +0000",no,"<![CDATA[<div> <strong>Dan Harmon</strong>, co-creator of Rick and Morty and owner of a dangerous Tesla reactor, joins the DTFH!<br> <br> Duncan's new show, <a href=""https://www.youtube.com/watch?v=0kQWAqjFJS0""><strong>The Midnight Gospel</strong></a>, debuts April 20th on Netflix! Created by Pendleton Ward (Adventure Time) and produced by Titmouse Studios (nearly every cool cartoon of the last 15 years).<br> <br> This episode is brought to you by:<br> <br>  </div> <ul><li> <a href=""https://www.bluechew.com/""><strong>BLUECHEW</strong></a> - Use offer code: DUNCAN at checkout and get your first shipment FREE with just $5 shipping. </li></ul> ]]>"
379: Jack Kornfield and Trudy Goodman,https://audioboom.com/posts/7553963,4453,"Sat, 11 Apr 2020 04:45:28 +0000",no,"<![CDATA[<div> <strong>Jack Kornfield</strong> and <strong>Trudy Goodman</strong>, two of the great teachers of mindfulness and meditation in the world today, join the DTFH!<br> <br> You can find more info on Jack &amp; Trudy's meditation classes on their individual sites, <a href=""https://jackkornfield.com/"">JackKornfield.com</a> and <a href=""http://www.trudygoodman.com/"">TrudyGoodman.com</a>. You can also find further info and classes on <a href=""https://insightla.org/"">InsightLA.org</a>.<br> <br> Duncan's new show, <a href=""https://www.youtube.com/watch?v=0kQWAqjFJS0""><strong>The Midnight Gospel</strong></a>, debuts April 20th on Netflix! Created by Pendleton Ward (Adventure Time) and produced by Titmouse Studios (pretty much every cool cartoon from the last 15 years).<br> <br> This episode is brought to you by:</div> <div><br> </div> <ul><li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li></ul> ]]>"
378: David Nichtern,https://audioboom.com/posts/7543688,4611,"Mon, 30 Mar 2020 20:24:14 +0000",no,"<![CDATA[<div> <strong>David Nichtern</strong>, meditation teacher, author, and a stabilizing/balancing force during this brain-melting pandemic, joins the DTFH!<br> <br> You can learn more about David on his <a href=""https://davidnichtern.com/"">personal site</a> and on his <a href=""https://www.facebook.com/davidnichtern"">Facebook</a>.<br> <br> <a href=""https://www.samarasacenter.com/mindfulness-meditation-teacher-training-2020/"">Click here</a> for more info on The Samarasa Center's Mindfulness Meditation Teacher Training for 2020, and <a href=""https://tibethouse.us/100-hour-mindfulness-meditation-teacher-training-david-nichtern/"">click here</a> for their online training program being hosted by Tibet House US.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.bluechew.com/""><strong>BLUECHEW</strong></a> - Use offer code: DUNCAN at checkout and get your first shipment FREE with just $5 shipping.</li> <li> <a href=""https://feals.com/""><strong>Feals</strong></a> - Visit <a href=""http://feals.com/duncan"">feals.com/duncan</a> and get 50% off and FREE shipping on your first order.</li> <li> <a href=""https://www.shudder.com/""><strong>Shudder</strong></a> - Use promo code DUNCAN for a FREE 30 Day Trial.</li> </ul> ]]>"
377: Sharon Salzberg,https://audioboom.com/posts/7536798,5004,"Sat, 21 Mar 2020 18:15:58 +0000",no,"<![CDATA[<div> <strong>Sharon Salzberg</strong>, author, meditation teacher, and EXACTLY the kind of voice we need to hear in this tumultuous time, joins the DTFH!<br> <br> Pre-Order Sharon's new book, <a href=""https://us.macmillan.com/books/9781250759849"">Real Change - Mindfulness To Heal Ourselves and the World</a>.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://theblacktux.com/""><strong>Black Tux</strong></a> - Use offer code: DUNCAN for 10% off your first order.</li> </ul> ]]>"
376: Mr. Bill,https://audioboom.com/posts/7529749,8087,"Fri, 13 Mar 2020 03:29:28 +0000",no,"<![CDATA[<div> <strong>Mr. Bill</strong>, sonic alchemist and genius musician, joins the DTFH!<br> <br> This episode is brought to you by:<br> <br>  </div> <ul><li> <a href=""https://feals.com/""><strong>Feals</strong></a> - Visit <a href=""http://feals.com/duncan"">feals.com/duncan</a> and get 50% off and FREE shipping on your first order.</li></ul> ]]>"
375: Mehcad Brooks,https://audioboom.com/posts/7524707,8712,"Sat, 07 Mar 2020 18:03:15 +0000",no,"<![CDATA[<div> <strong>Mehcad Brooks</strong>, amazing actor and <strong><em>JAX FROM MORTAL KOMBAT</em></strong>, joins the DTFH!<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.ziprecruiter.com/duncan""><strong>Zip Recruiter</strong></a> - Visit <a href=""http://ZipRecruiter.com/Duncan"">ZipRecruiter.com/Duncan</a> to try ZipRecruiter for FREE!</li> <li> <a href=""https://theblacktux.com/""><strong>Black Tux</strong></a> - Use offer code: DUNCAN for 10% off your first order.</li> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> </ul> ]]>"
374: Ashley Matthews,https://audioboom.com/posts/7518181,5295,"Sat, 29 Feb 2020 00:50:25 +0000",no,"<![CDATA[<div> <strong>Ashley Matthews</strong>, adult actress, brilliant chef, and amazing human being joins the DTFH!<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.bluechew.com/""><strong>BLUECHEW</strong></a> - Use offer code: DUNCAN at checkout and get your first shipment FREE with just $5 shipping.</li> <li> <a href=""https://feals.com/""><strong>Feals</strong></a> - Visit <a href=""http://feals.com/duncan"">feals.com/duncan</a> and get 50% off and FREE shipping on your first order.</li> </ul> ]]>"
373: Brendon Walsh,https://audioboom.com/posts/7511892,4339,"Sat, 22 Feb 2020 15:45:15 +0000",no,"<![CDATA[<div> <strong>Brendon Walsh</strong>, operative 46789 and host of <a href=""https://www.patreon.com/worldrecordpodcast"">Brendon Walsh's World Record Podcast</a>, joins the DTFH!<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://theblacktux.com/""><strong>Black Tux</strong></a> - Use offer code: DUNCAN for 10% off your first order.</li> <li> <a href=""https://www.shudder.com/""><strong>Shudder</strong></a> - Use promo code DUNCAN for a FREE 30 Day Trial.</li> </ul> ]]>"
372: Ian Fidance,https://audioboom.com/posts/7505866,4119,"Sat, 15 Feb 2020 15:35:30 +0000",no,"<![CDATA[<div> <strong>Ian Fidance</strong>, brilliantly funny comic, joins the DTFH! You can learn more about Ian <a href=""http://www.ianfidance.com/"">here</a>.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul><li> <a href=""https://www.shudder.com/""><strong>Shudder</strong></a> - Use promo code DUNCAN for a FREE 30 Day Trial!</li></ul> ]]>"
371: David Lucas,https://audioboom.com/posts/7499518,6192,"Sat, 08 Feb 2020 18:54:02 +0000",no,"<![CDATA[<div> <strong>David Lucas</strong>, comedian and host of <a href=""https://podcasts.apple.com/us/podcast/brothers-in-cursive/id1489094288"">Brothers in Cursive</a>, joins the DTFH!<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://bouqs.com/""><strong>The Bouqs Co.</strong></a> - Use code DUNCAN at checkout for 25% off your order!</li> </ul> <div>Photo credit: <a href=""http://ericstanifordproductions.com/"">Eric Staniford</a> </div> ]]>"
370: LIVE in Denver with Johnny Pemberton,https://audioboom.com/posts/7492837,6674,"Fri, 31 Jan 2020 15:22:35 +0000",no,"<![CDATA[<div> <strong>Johnny Pemberton</strong> joined the DTFH for a rowdy live show at the Denver Comedy Works! Big thanks to the members/musicians of the <a href=""https://krishnadenver.com/""><strong>Radha Krishna Temple</strong></a> in Denver for kicking off the show with an amazing kirtan.<br> <br> Duncan and Ian Fidance are coming to the Arlington Drafthouse February 7 &amp; 8! Tickets available <a href=""https://acdh.arlingtondrafthouse.com/calendar.cfm?m=2&amp;y=2020"">here</a>.<br> <br> This episode is brought to you by:</div> <div><br> </div> <ul> <li> <a href=""https://www.paintyourlife.com/""><strong>Paint Your Life</strong></a> - Text DUNCAN to 64000 and receive 30% off and FREE shipping on your first order!</li> <li> <a href=""https://feals.com/""><strong>Feals</strong></a> - Visit <a href=""http://feals.com/duncan"">feals.com/duncan</a> and get 50% off and FREE shipping on your first order.</li> <li> <a href=""https://bouqs.com/""><strong>The Bouqs Co.</strong></a><strong> </strong>- Use code DUNCAN at checkout for 25% off your order!</li> </ul> ]]>"
369: Suzanne Santo,https://audioboom.com/posts/7483551,5763,"Tue, 21 Jan 2020 05:39:44 +0000",no,"<![CDATA[<div> <strong>Suzanne Santo</strong>, amazing musician from honeyhoney, joins the DTFH! You can hear Suzanne's new solo album, <strong>Ruby Red</strong>, in all the usual places, and you can buy it <a href=""https://www.districtlines.com/Suzanne-Santo"">here</a>. <br> <br> Duncan and Johnny Pemberton are coming to Denver this weekend! January 23-25 at the downtown Comedy Works! Get your tickets <a href=""https://www.comedyworks.com/comedians/duncan-trussell"">here</a>.<br> <br> This episode is brought to you by: <br> <br>  </div> <ul> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://www.bluechew.com/""><strong>BLUECHEW</strong></a> - Use offer code: DUNCAN at checkout and get your first shipment FREE with just $5 shipping.</li> </ul> ]]>"
368: Ian Edwards,https://audioboom.com/posts/7475676,5266,"Sat, 11 Jan 2020 03:23:47 +0000",no,"<![CDATA[<div> <strong>Ian Edwards</strong>, brilliant writer, comic, and amazing human being, joins the DTFH!<br> <br> You can see Ian's new special, IanTalk: Ideas Not Worth Spreading, <a href=""http://www.cc.com/episodes/m3sgbp/bill-burr-presents-iantalk--ideas-not-worth-spreading-bill-burr-presents-iantalk--ideas-not-worth-spreading-season-1-ep-special"">here</a>.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul><li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li></ul> ]]>"
367: Shane Mauss,https://audioboom.com/posts/7470115,5535,"Sat, 04 Jan 2020 15:43:25 +0000",no,"<![CDATA[<div> <strong>Shane Mauss</strong>, comedian and host of Here We Are, rejoins the DTFH!<br> <br> Duncan is coming to Denver and Brooklyn! <a href=""http://www.duncantrussell.com/#block-yui_3_17_2_20_1459541280692_17186"">Click here</a> to see his upcoming tour dates. <br> <br> This episode is brought to you by:<br> <br>  </div> <ul><li> <a href=""https://www.manscaped.com/""><strong>Manscaped</strong></a> - Use offer code: DUNCAN at checkout to get 20% off and FREE shipping.</li></ul> ]]>"
366: Conner Habib,https://audioboom.com/posts/7464777,7598,"Sun, 29 Dec 2019 01:50:29 +0000",no,"<![CDATA[<div> <strong>Conner Habib</strong>, philosopher/porn star/podcasting mystic, joins the DTFH for a mega podcast!<br> <br> You can learn more about Conner <a href=""https://connerhabib.com/"">here</a>, and you can find &amp; support his Patreon <a href=""https://www.patreon.com/ConnerHabib"">here</a>.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://feals.com/duncan""><strong>Feals</strong></a> - Visit <a href=""https://feals.com/duncan"">feals.com/duncan</a> and get 50% off your first order.</li> <li> <a href=""https://burrow.com/duncan""><strong>Burrow</strong></a> - Visit <a href=""https://burrow.com/duncan"">burrow.com/duncan</a> and use code DUNCAN at checkout to get $75 off and FREE 1 -week shipping.</li> </ul> ]]>"
365: Jack Kornfield,https://audioboom.com/posts/7451690,4669,"Sun, 15 Dec 2019 03:53:54 +0000",no,"<![CDATA[<div> <strong>Jack Kornfield</strong>, Buddhist teacher and author, rejoins the DTFH!<br> <br> You can learn more about Jack on his website, <a href=""https://jackkornfield.com/"">here</a>.<br> <br> Duncan is coming to Denver! January 23-25. Click <a href=""https://www.comedyworks.com/comedians/duncan-trussell"">here</a> to buy tickets.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://duncantrussell.myshopify.com/""><strong>The DTFH Store</strong></a> - We've refreshed the shop for the holidays! Use our offer code: CHRISTMASFEET to get 10% off any item in the store!</li> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://www.bluechew.com/""><strong>BLUECHEW</strong></a> - Use offer code: DUNCAN at checkout and get your first shipment FREE with just $5 shipping.</li> </ul> ]]>"
364: Cole Marta,https://audioboom.com/posts/7442667,6970,"Thu, 05 Dec 2019 17:28:57 +0000",no,"<![CDATA[<div> <strong>Cole Marta</strong>, brilliant doctor at the forefront of psychedelic medicine and ketamine research, rejoins the DTFH!<br> <br> You can learn more about Cole's clinic, the California Center for Psychedelic Therapy, <a href=""https://psychedelictherapyca.com/"">here</a>.<br> <br> Duncan is coming to Denver! January 23-25. <a href=""https://www.comedyworks.com/comedians/duncan-trussell"">Click here to buy tickets</a>.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://duncantrussell.myshopify.com/""><strong>The DTFH Store</strong></a> - We've refreshed the shop for the holidays! Use our offer code: CHRISTMASFEET to get 10% off any item in the store!</li> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://bombas.com/duncan""><strong>Bombas</strong></a> - Visit <a href=""http://bombas.com/duncan"">bombas.com/duncan</a> for 20% off your first purchase.</li> </ul> ]]>"
363: Mitch Horowitz,https://audioboom.com/posts/7437968,4646,"Sat, 30 Nov 2019 01:11:05 +0000",no,"<![CDATA[<div> <strong>MITCH HOROWITZ</strong>, author, seeker, historian, and philosopher, rejoins the DTFH!<br> <br> Check out Mitch's website <a href=""https://mitchhorowitz.com/"">here</a>, and if you're into metaphysics at all check out his new book, <a href=""https://www.amazon.com/dp/1722502835/ref=cm_sw_em_r_mt_dp_U_2JyWDbNQCSVAM"">Magician of the Beautiful: An Introduction to Neville Goddard</a>.<br> <br> Duncan is coming to Denver! January 23-25. <a href=""https://www.comedyworks.com/comedians/duncan-trussell"">Click here to buy tickets</a>.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://duncantrussell.myshopify.com/""><strong>The DTFH Store</strong></a> - We've refreshed the shop for the holidays! Use our offer code: BLACKTURKEY to get 20% off any item in the store!</li> <li> <a href=""https://www.manscaped.com/""><strong>Manscaped</strong></a> - Use offer code: DUNCAN at checkout to get 20% off and FREE shipping.</li> <li> <a href=""https://www.bluechew.com/""><strong>BLUECHEW</strong></a> - Use offer code: DUNCAN at checkout and get your first shipment FREE with just $5 shipping.</li> </ul> ]]>"
362: Susan Marrufo,https://audioboom.com/posts/7432562,7372,"Sat, 23 Nov 2019 18:41:26 +0000",no,"<![CDATA[<div> <strong>Susan Marrufo</strong>, co-founder of <a href=""https://www.samarasacenter.com/"">Samarasa Center</a>, yoga teacher, and meditation teacher joins the DTFH!<br> <br> Duncan is coming to Denver! January 23-25. <a href=""https://www.comedyworks.com/comedians/duncan-trussell"">Click here to buy tickets</a>.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.squarespace.com/duncan""><strong>Squarespace</strong></a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://burrow.com/duncan""><strong>Burrow</strong></a> - Visit <a href=""https://burrow.com/duncan"">burrow.com/duncan</a> and use code DUNCAN at checkout to get $75 off and FREE 1 -week shipping.</li> </ul> ]]>"
361: Andrew Santino,https://audioboom.com/posts/7424784,6281,"Thu, 14 Nov 2019 20:09:33 +0000",no,"<![CDATA[<div> <strong>Andrew Santino</strong>, brilliant comedian and actor, joins the DTFH! Check out Andrew's podcast, <a href=""https://www.andrewsantino.com/podcast"">Whiskey Ginger</a>.<br> <br> Duncan is coming to Denver! January 23-25. <a href=""https://www.comedyworks.com/comedians/duncan-trussell"">Click here to buy tickets</a>.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://omaxhealth.com/products/omax-cryofreeze-cbd-roll-on"">Omax Health</a> - Use offer code: DUNCAN to save 20% on Cryofreeze CBD and all their other amazing CBD products.</li> <li> <a href=""http://audible.com/DTFH"">Audible</a> - Visit <a href=""http://audible.com/DTFH"">audible.com/DTFH</a> or text DTFH to 500-500 to get a 30 day trial/free audiobook &amp; two FREE Audible Originals.</li> </ul> ]]>"
360: Aubrey Marcus,https://audioboom.com/posts/7419705,4756,"Sat, 09 Nov 2019 21:37:23 +0000",no,"<![CDATA[<div> <strong>Aubrey Marcus</strong>, the titan himself, CEO of Onnit, poet, businessman, and shaman made the dark transit from Venice to join the DTFH!<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.squarespace.com/duncan"">Squarespace</a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""https://bombas.com/duncan"">Bombas</a> - Visit <a href=""http://bombas.com/duncan"">bombas.com/duncan</a> for 20% off your first purchase.</li> </ul> ]]>"
359: Mitch Horowitz,https://audioboom.com/posts/7415167,4840,"Tue, 05 Nov 2019 14:42:29 +0000",no,"<![CDATA[<div>Mitch Horowitz, author, speaker, and expert in Neville Goddard, joins the DTFH!<br> <br> Check out Mitch's new book, <a href=""https://www.amazon.com/dp/1722502835/ref=cm_sw_em_r_mt_dp_U_2JyWDbNQCSVAM"">Magician of the Beautiful: An Introduction to Neville Goddard</a>.<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.bluechew.com/"">BLUECHEW</a> - Use offer code: DUNCAN at checkout and get your first shipment FREE with just $5 shipping.</li> <li> <a href=""https://omaxhealth.com/products/omax-cryofreeze-cbd-roll-on"">Cryofreeze CBD (by Omax Health)</a> - Use offer code: DUNCAN to save 20% on Cryofreeze CBD and all site-wide items.</li> </ul> ]]>"
358: Johnny Pemberton,https://audioboom.com/posts/7407128,3841,"Sun, 27 Oct 2019 05:22:51 +0000",no,"<![CDATA[<div> <strong>Johnny Pemberton</strong>, our <em>Star Glory</em> <strong><em>KING</em></strong>, rejoins the DTFH!<br> <br> This episode is brought to you by:<br> <br>  </div> <ul> <li> <a href=""https://www.squarespace.com/duncan"">Squarespace</a> - Use offer code: DUNCAN to save 10% on your first site.</li> <li> <a href=""http://www.simplecontacts.com/duncan20"">Simple Contacts</a> - Use code duncan20 at checkout for $20 off your first order.</li> <li> <a href=""https://burrow.com/duncan"">Burrow</a> - Get $75 off and FREE 1 week shipping when you visit <a href=""https://burrow.com/duncan"">burrow.com/duncan</a> and use code DUNCAN at checkout.</li> </ul> ]]>"
357: David Nichtern,https://audioboom.com/posts/7398365,4084,"Thu, 17 Oct 2019 01:33:49 +0000",no,"<![CDATA[<div> <strong>David Nichtern</strong>, student of Chögyam Trungpa Rinpoche and Duncan's meditation teacher, rejoins the DTFH!<br> <br> Click <a href=""http://davidnichtern.com/creativity-spirituality-making-a-buck/"">here</a> to learn more about David's new book, <a href=""http://davidnichtern.com/creativity-spirituality-making-a-buck/"">Creativity, Spirituality &amp; Making A Buck</a>.<br> <br> This episode is brought to you by <a href=""https://www.squarespace.com/duncan"">Squarespace</a> (use offer code: DUNCAN to save 10% on your first site). This episode is also brought to you by <a href=""https://feals.com/duncan"">Feals</a> (visit <a href=""https://feals.com/duncan"">feals.com/duncan</a> and get 50% off your first order).</div> ]]>"
356: Cory Allen,https://audioboom.com/posts/7390156,4270,"Tue, 08 Oct 2019 06:41:51 +0000",no,"<![CDATA[<div> <strong>Cory Allen</strong>, author and host of <a href=""http://www.cory-allen.com/theastralhustle"">The Astral Hustle</a>, joins the DTFH!<br> <br> Check out Cory's new book, <a href=""http://www.cory-allen.com/now-is-the-way"">Now Is the Way: An Unconventional Approach to Modern Mindfulness</a>.<br> <br> This episode is brought to you by <a href=""https://bombas.com/duncan"">Bombas</a> (Visit <a href=""https://bombas.com/duncan"">bombas.com/duncan</a> for 20% off your first purchase).</div> ]]>"
355: Joe Patitucci,https://audioboom.com/posts/7383824,5757,"Tue, 01 Oct 2019 03:35:26 +0000",no,"<![CDATA[<div> <strong>Joe Patitucci</strong>, technological druid, founder/director of Data Garden, and co-creator of PlantWave, joins the DTFH!<br> <br> You can learn more about Joe <a href=""http://www.joepatitucci.net/"">here</a> and more about PlantWave <a href=""http://www.plantwave.com/"">here</a>. <br> <br> This episode is brought to you by <a href=""https://burrow.com/duncan"">Burrow</a> ($75 off and FREE 1 week shipping when you visit <a href=""https://burrow.com/duncan"">burrow.com/duncan</a> and use code DUNCAN at checkout). This episode is also brought to you by <a href=""https://www.squarespace.com/duncan"">Squarespace</a> (use offer code: DUNCAN to save 10% on your first site).</div> ]]>"
354: Hashiam Kadhim,https://audioboom.com/posts/7377437,4036,"Tue, 24 Sep 2019 05:12:16 +0000",no,"<![CDATA[<div>Hashiam Kadhim, AI, Deep Learning, and Deepfake expert, joins the DTFH!<br> <br> This episode is brought to you by <a href=""https://www.bluechew.com/"">BLUECHEW</a> (use offer code: DUNCAN at checkout and get your first shipment FREE with just $5 shipping).</div> ]]>"
353: Raghu Markus,https://audioboom.com/posts/7368041,4246,"Fri, 13 Sep 2019 04:38:45 +0000",no,"<![CDATA[<div> <strong>Raghu Markus</strong>, host of the <a href=""https://beherenownetwork.com/category/raghu-markus/"">Mindrolling</a> podcast and spiritual teacher, rejoins the DTFH to talk about the new Ram Dass movie, Becoming Nobody!<br> <br> Learn more about Ram Dass' new movie, <a href=""https://becomingnobody.com/"">Becoming Nobody</a>.<br> <br> This episode is brought to you by the new Earwolf podcast, Get Rich Nick. Click <a href=""https://www.earwolf.com/show/get-rich-nick/"">here</a> to learn more! This episode is also brought to you by <a href=""https://www.shudder.com/"">Shudder</a> (use code DUNCAN to get a FREE 30 day trial!).</div> ]]>"
352: Rob Schrab,https://audioboom.com/posts/7362388,7336,"Sun, 08 Sep 2019 19:17:09 +0000",no,"<![CDATA[<div> <strong>Rob Schrab</strong>, creator, director, writer, and all-around genius joins the DTFH!<br> <br> Learn more about Ram Dass' new movie, <a href=""https://becomingnobody.com/"">Becoming Nobody</a>, here.<br> <br> This episode of the DTFH is brought to you by <a href=""https://audioboom.com/channels/4998114"">A Life Lived</a>, an Audioboom Original podcast. This episode is also brought to you by <a href=""https://www.squarespace.com/duncan"">Squarespace</a> (use offer code: DUNCAN to save 10% on your first site).</div> ]]>"
351: Noah Lampert,https://audioboom.com/posts/7356548,4401,"Sun, 01 Sep 2019 03:18:59 +0000",no,"<![CDATA[<div> <strong>Noah Lampert</strong>, one of Duncan's favorite manifesters (Duncan's word), joins the DTFH!<br> <br> Check out Noah's podcast, <a href=""https://www.syncpodcast.com/"">Synchronicity</a>, wherever you listen to podcasts.<br> <br> This episode is brought to you by <a href=""https://burrow.com/duncan"">Burrow</a> ($75 off and FREE 1 week shipping when you visit <a href=""http://burrow.com/duncan"">burrow.com/duncan</a> and use code DUNCAN at checkout). This episode is also brought to you by <a href=""https://www.instacart.com/"">Instacart</a> ($10 off your first order when you use code DUNCAN at checkout).</div> ]]>"
350: Mirabai Starr,https://audioboom.com/posts/7352237,3983,"Tue, 27 Aug 2019 02:54:06 +0000",no,"<![CDATA[<div> <strong>Mirabai Starr</strong>, speaker and brilliant author of Wild Mercy, joins the DTFH!<br> <br> You can find more info on Mirabai and purchase links for Wild Mercy on her <a href=""https://www.mirabaistarr.com/"">website</a>.<br> <br> This episode is brought to you by <a href=""https://www.squarespace.com/duncan"">Squarespace</a> (use offer code: DUNCAN to save 10% on your first site). This episode is also brought to you by <a href=""https://www.instacart.com/"">Instacart</a> ($10 off your first order when you use code DUNCAN at checkout).</div> ]]>"
349: Emil Amos,https://audioboom.com/posts/7344443,7138,"Fri, 16 Aug 2019 23:37:17 +0000",no,"<![CDATA[<div> <strong>Emil Amos</strong>, from Grails, Holy Sons, and Duncan's gateway to an entire mode of being rejoins the DTFH!<br> <br> This episode is brought to you by <a href=""http://buyraycon.com/duncan"">Raycon</a> (visit <a href=""http://buyraycon.com/duncan"">buyraycon.com/duncan</a> and use offer code: DUNCAN15 at checkout for 15% off). This episode is also brought to you by <a href=""http://audible.com/DTFH"">Audible</a> (visit <a href=""http://audible.com/DTFH"">audible.com/DTFH</a> or text DTFH to 500-500 to get a 30 day trial/free audiobook &amp; two FREE Audible Originals).</div> ]]>"
348: Charles Eisenstein,https://audioboom.com/posts/7340384,4662,"Mon, 12 Aug 2019 18:06:24 +0000",no,"<![CDATA[<div> <strong>Charles Eisenstein</strong>, public-speaker, philosopher, and author, returns to the DTFH!<br> <br> This episode is brought to you by <a href=""https://www.squarespace.com/duncan"">Squarespace</a> (use offer code: DUNCAN to save 10% on your first site) and <a href=""http://www.simplecontacts.com/duncan20"">Simple Contacts</a> (use code duncan20 at checkout for $20 off your first order!)</div> ]]>"
347: Dan Harmon,https://audioboom.com/posts/7332740,6898,"Sat, 03 Aug 2019 08:35:43 +0000",no,"<![CDATA[<div>Dan Harmon, genius writer, producer, and co-creator of Rick &amp; Morty joins the DTFH!<br> <br> Guitar intro by Aaron Golberg, check out his <a href=""http://aarongoldberg.bandcamp.com/"">Bandcamp here</a>.<br> <br> This episode is brought to you by <a href=""https://www.instacart.com/"">Instacart</a> ($10 off your first order when you use code DUNCAN at checkout). </div> ]]>"
